geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	rank	geneIDs	correlation	p-value	adj p-value	RefSeq	RPKM
															'PINK1'	0.683	0.576	168	'TLN1'	0.56	1.97E-73	2.29E-70	725733	5675
															'NAA60'	0.682	0.528	169	'SCAND1'	0.56	2.14E-73	2.48E-70	920887	5135
															'PPP1R13L'	0.682	0.389	170	'SLC25A29'	0.56	2.22E-73	2.56E-70	1072954	2530
															'ANKRD52'	0.681	0.449	171	'NSMF'	0.56	3.39E-73	3.88E-70	530453	3518
															'TSPO'	0.681	0.124	172	'MED25'	0.56	3.59E-73	4.09E-70	788905	4576
															'CLTB'	0.68	0.551	173	'PIK3R2'	0.56	1.48E-72	1.68E-69	486821	5020
															'NOXA1'	0.68	0.371	174	'EMD'	0.56	2.80E-72	3.13E-69	1066788	2710
															'TMEM132A'	0.679	0.37	175	'TLE2'	0.56	3.48E-72	3.87E-69	801424	5018
															'RPL3'	0.678	0.512	176	'INO80E'	0.56	4.09E-72	4.53E-69	982744	4778
															'CARD10'	0.677	0.25	177	'VAT1'	0.56	5.03E-72	5.54E-69	809465	5662
															'PDAP1'	0.677	0.603	178	'HDGFRP2'	0.56	5.20E-72	5.69E-69	692113	2999
															'NPDC1'	0.676	0.613	179	'ACAP3'	0.56	5.43E-72	5.91E-69	552657	4327
															'TMEM175'	0.676	0.536	180	'POLR2L'	0.56	7.70E-72	8.34E-69	393344	5640
															'DNM2'	0.676	0.524	181	'CNOT3'	0.56	2.07E-71	2.22E-68	994956	2683
															'ECI1'	0.676	0.573	182	'RPS23'	0.56	4.44E-71	4.73E-68	1876661	3382
															'ARRDC1'	0.675	0.452	183	'NME2.uid_22041'	0.55	7.74E-71	8.20E-68	288566	3567
															'TBC1D17'	0.675	0.58	184	'LPPR2'	0.55	1.05E-70	1.11E-67	625737	4919
															'UCKL1'	0.674	0.45	185	'TMEM129'	0.55	2.02E-70	2.12E-67	1024212	5601
															'MPG'	0.674	0.47	186	'CUEDC1'	0.55	3.35E-70	3.49E-67	391676	3869
															'SCAP'	0.674	0.422	187	'DRAP1'	0.55	3.57E-70	3.69E-67	1618334	4541
															'FRMD8'	0.673	0.36	188	'PFKL'	0.55	4.02E-70	4.13E-67	585786	3646
															'AP2S1'	0.673	0.497	189	'RPS3'	0.55	4.86E-70	4.96E-67	846027	5798
															'TPCN1'	0.672	0.461	190	'ARL8A'	0.55	4.88E-70	4.96E-67	1696356	5983
															'PCBP1'	0.672	0.487	191	'CDIP1'	0.55	6.64E-70	6.72E-67	1636963	4795
															'LEMD2'	0.672	0.588	192	'RABAC1'	0.55	9.68E-70	9.74E-67	1271570	5629
															'SLC9A1'	0.671	0.323	193	'CLTB'	0.55	1.03E-69	1.03E-66	411963	4288
															'RPL23'	0.671	0.517	194	'WBP2'	0.55	2.11E-69	2.10E-66	1050379	6095
															'NME2.uid_22041'	0.671	0.555	195	'PICK1'	0.55	2.67E-69	2.65E-66	270036	6341
															'GPR137'	0.67	0.539	196	'B3GAT3'	0.55	3.07E-69	3.03E-66	1210489	5528
															'TAX1BP3'	0.67	0.347	197	'FASN'	0.55	1.13E-68	1.11E-65	941845	5485
															'BAZ2A'	0.67	0.49	198	'C1QL1'	0.55	1.73E-68	1.69E-65	920440	4437
															'DAPK3'	0.669	0.516	199	'RAVER1'	0.55	2.00E-68	1.95E-65	948023	4546
															'DAP'	0.669	0.474	200	'PABPN1'	0.55	2.06E-68	1.99E-65	757686	4574
															'PSKH1'	0.669	0.494	201	'ZNF358'	0.55	2.25E-68	2.16E-65	768131	5747
															'MESP1'	0.669	0.394	202	'SLC38A10'	0.55	3.99E-68	3.83E-65	421122	2520
															'FBXL6'	0.669	0.341	203	'NAT14'	0.55	5.51E-68	5.26E-65	813311	2314
															'ADAM15'	0.669	0.404	204	'CORO1B'	0.54	6.39E-68	6.07E-65	791087	2883
															'PPP4C'	0.669	0.483	205	'ARVCF'	0.54	8.92E-68	8.42E-65	436018	5403
															'GPR56'	0.668	0.519	206	'TP53I13'	0.54	1.09E-67	1.02E-64	672835	5154
															'C17orf62'	0.668	0.406	207	'LAMTOR1'	0.54	1.87E-67	1.75E-64	1234687	4728
															'RRBP1'	0.668	0.373	208	'GUK1'	0.54	2.27E-67	2.11E-64	743979	4980
															'SELO'	0.667	0.455	209	'MAPK8IP1'	0.54	4.03E-67	3.74E-64	37231	5330
															'EMC10'	0.667	0.461	210	'RAC3'	0.54	4.26E-67	3.93E-64	864498	6285
															'DAZAP1'	0.667	0.461	211	'FN3K'	0.54	4.52E-67	4.15E-64	956704	5763
															'ZNF358'	0.667	0.547	212	'SNHG6'	0.54	7.15E-67	6.54E-64	743405	6384
															'NPRL3'	0.667	0.466	213	'SLC25A1'	0.54	8.49E-67	7.73E-64	1066815	3407
															'SLC43A2'	0.667	0.429	214	'JUNB'	0.54	1.02E-66	9.24E-64	446895	4160
															'LRRC59'	0.667	0.347	215	'PTGES2'	0.54	1.67E-66	1.51E-63	596788	4921
															'ATP1A1'	0.666	0.346	216	'CDC34'	0.54	2.68E-66	2.41E-63	935982	5223
															'LSR'	0.666	0.503	217	'GPR137'	0.54	3.10E-66	2.77E-63	2893	1146
															'CDK12'	0.665	0.391	218	'TCEA2'	0.54	5.54E-66	4.93E-63	351950	5783
															'DBNDD1'	0.664	0.456	219	'GNAI2'	0.54	5.82E-66	5.16E-63	1046878	4264
															'TMEM203'	0.663	0.492	220	'CHPF2'	0.54	6.48E-66	5.72E-63	649917	4332
															'FAM150B'	0.663	0.2	221	'PHLDB3'	0.54	6.60E-66	5.79E-63	984568	4226
															'SF3A1'	0.662	0.342	222	'LTBP3'	0.54	1.03E-65	9.01E-63	646575	5119
															'EVC'	0.662	0.175	223	'NME3'	0.54	1.06E-65	9.27E-63	950444	5890
															'CANT1'	0.662	0.352	224	'SRRM2'	0.54	1.22E-65	1.06E-62	490270	2372
															'SLC25A1'	0.662	0.541	225	'B3GNT9'	0.54	1.97E-65	1.70E-62	546228	4875
															'FAM129B'	0.661	0.311	226	'RPS7'	0.54	2.28E-65	1.96E-62	508450	4484
															'PHLDB1'	0.661	0.238	227	'RHBDD2'	0.54	2.41E-65	2.05E-62	535447	5826
															'TMEM129'	0.66	0.553	228	'TMEM175'	0.54	2.43E-65	2.06E-62	1793495	4564
															'USP20'	0.659	0.428	229	'RPL27A'	0.54	2.49E-65	2.10E-62	933344	5641
															'IER3'	0.659	0.429	230	'COMTD1'	0.54	2.71E-65	2.28E-62	1210438	4465
															'KCNQ1'	0.659	0.11	231	'CLCN7'	0.54	2.87E-65	2.41E-62	981724	2624
															'CLCN7'	0.659	0.536	232	'DVL3'	0.54	4.10E-65	3.42E-62	48346	3589
															'DYNLRB1'	0.658	0.463	233	'FOXP4'	0.53	4.99E-65	4.14E-62	213729	1119
															'DPP3'	0.658	0.436	234	'MXD4'	0.53	5.98E-65	4.95E-62	558120	4305
															'ZDHHC8'	0.657	0.493	235	'PRRC2A'	0.53	6.81E-65	5.61E-62	1632470	3337
															'RPS5'	0.657	0.582	236	'MAP2K2'	0.53	8.77E-65	7.19E-62	1081397	3956
															'CADM4'	0.657	0.381	237	'PGP'	0.53	1.51E-64	1.23E-61	1068843	4477
															'ESRRA'	0.656	0.382	238	'SMIM4'	0.53	3.03E-64	2.46E-61	1518076	6693
															'ATP5G2'	0.656	0.494	239	'MLST8'	0.53	3.42E-64	2.77E-61	1513889	3990
															'MAGEF1'	0.655	0.376	240	'HS1BP3'	0.53	3.58E-64	2.89E-61	381174	2457
															'ENDOG'	0.654	0.498	241	'MFSD10'	0.53	6.19E-64	4.98E-61	1114850	4919
															'MYO1D'	0.654	0.399	242	'TSC22D4'	0.53	8.27E-64	6.63E-61	605104	3800
															'PNRC1'	0.654	0.566	243	'RAD23A'	0.53	1.18E-63	9.39E-61	1041774	3563
															'UNC93B1'	0.654	0.416	244	'DTX3'	0.53	1.60E-63	1.27E-60	959982	4989
															'SHISA4'	0.654	0.403	245	'MTA1'	0.53	2.61E-63	2.07E-60	660564	4521
															'DVL3'	0.653	0.535	246	'ARF5'	0.53	2.87E-63	2.26E-60	1283377	4663
															'PIK3R2'	0.653	0.561	247	'NAA60'	0.53	3.93E-63	3.09E-60	580345	5203
															'IGFBP7'	0.653	0.352	248	'STK11'	0.53	6.81E-63	5.33E-60	1311016	5526
															'LY6E'	0.653	0.385	249	'SLC22A17'	0.53	7.56E-63	5.89E-60	537057	6517
															'TMC6'	0.652	0.129	250	'PLXNB2'	0.53	8.69E-63	6.74E-60	1290912	3320
															'CDC34'	0.652	0.539	251	'LENG8'	0.53	1.14E-62	8.78E-60	358604	3421
															'B3GAT3'	0.652	0.549	252	'SRM'	0.53	1.31E-62	1.01E-59	378934	4951
															'NSMF'	0.652	0.563	253	'GSK3A'	0.53	1.35E-62	1.03E-59	1148931	3686
															'BAX'	0.652	0.472	254	'PNPLA6'	0.53	1.43E-62	1.10E-59	585577	3782
															'NADK'	0.651	0.458	255	'ERP29'	0.53	1.45E-62	1.10E-59	211846	3894
															'PKN1'	0.651	0.473	256	'FAM195A'	0.53	1.57E-62	1.19E-59	1264213	3957
															'SLC25A10'	0.651	0.432	257	'RPS24'	0.52	4.18E-62	3.16E-59	1492251	4678
															'RPL10'	0.65	0.501	258	'DNM2'	0.52	5.81E-62	4.38E-59	947852	3371
															'RNF126'	0.65	0.586	259	'TESK1'	0.52	7.45E-62	5.57E-59	1170817	5445
															'RPL12'	0.65	0.588	260	'VWA7'	0.52	1.50E-61	1.12E-58	637128	4897
															'P4HTM'	0.65	0.444	261	'C8orf82'	0.52	1.69E-61	1.25E-58	1078181	5031
															'PLXNA1'	0.649	0.307	262	'TOMM40'	0.52	1.81E-61	1.34E-58	996825	3026
															'NME3'	0.649	0.537	263	'FBXW5'	0.52	2.29E-61	1.69E-58	838775	4433
															'BCL2L1'	0.649	0.456	264	'RPS19'	0.52	2.45E-61	1.80E-58	1167501	6892
															'HS1BP3'	0.648	0.532	265	'BOK'	0.52	2.56E-61	1.87E-58	1445433	4661
															'AP2A2'	0.648	0.464	266	'FBXO31'	0.52	2.81E-61	2.05E-58	680537	5607
															'ORAI3'	0.647	0.467	267	'RPL24'	0.52	3.17E-61	2.30E-58	375791	5066
															'OGFR'	0.647	0.439	268	'RNF145'	0.52	3.45E-61	2.49E-58	1123870	3400
															'POLR2A'	0.646	0.518	269	'SLC29A4'	0.52	3.49E-61	2.51E-58	974776	6360
															'MBD1'	0.646	0.292	270	'MOGS'	0.52	4.62E-61	3.32E-58	737229	3247
															'URM1'	0.645	0.516	271	'ZBTB7A'	0.52	5.31E-61	3.80E-58	327006	4349
															'POMT1'	0.645	0.408	272	'GPR56'	0.52	1.02E-60	7.27E-58	910191	3224
															'SZRD1'	0.645	0.58	273	'NDUFB11'	0.52	1.20E-60	8.52E-58	389563	2870
															'TRIOBP'	0.645	0.259	274	'RPL13AP6'	0.52	1.41E-60	9.96E-58	602950	5841
															'DUSP28'	0.645	0.405	275	'SEZ6L2'	0.52	1.92E-60	1.35E-57	1439610	5539
															'RPS28'	0.644	0.486	276	'SLC39A3'	0.52	2.26E-60	1.59E-57	1667593	5375
															'BLOC1S4'	0.644	0.317	277	'POLR2A'	0.52	2.60E-60	1.82E-57	1105553	3371
															'SH3GL1'	0.643	0.441	278	'HMGA1'	0.52	3.24E-60	2.25E-57	1463242	4779
															'CRAT'	0.643	0.467	279	'PPP6R1'	0.52	3.62E-60	2.51E-57	190209	2577
															'CTXN1'	0.643	0.248	280	'RPL23'	0.52	4.93E-60	3.40E-57	1447271	4289
															'ATN1'	0.643	0.502	281	'APP'	0.52	5.79E-60	3.98E-57	1304035	5451
															'APP'	0.642	0.516	282	'ZDHHC1'	0.52	6.64E-60	4.55E-57	278807	5979
															'MAZ'	0.642	0.581	283	'UBE2M'	0.52	7.11E-60	4.86E-57	644272	7120
															'TBC1D10A'	0.642	0.401	284	'DAPK3'	0.52	7.40E-60	5.04E-57	819074	5272
															'FOXA2'	0.641	0.361	285	'PPP1R14B'	0.52	7.52E-60	5.11E-57	562847	4725
															'SLC52A2'	0.641	0.455	286	'URM1'	0.52	8.51E-60	5.76E-57	1102948	3849
															'FLNA'	0.64	0.112	287	'TAF6L'	0.52	1.00E-59	6.75E-57	1339786	4227
															'RNPEP'	0.64	0.381	288	'MACROD1'	0.52	1.10E-59	7.39E-57	651497	3372
															'DOT1L'	0.64	0.434	289	'PTPRN'	0.51	1.59E-59	1.06E-56	756422	3965
															'FAM160A2'	0.64	0.431	290	'PARVB'	0.51	3.34E-59	2.23E-56	650435	5012
															'KAT8'	0.639	0.4	291	'CAMTA2'	0.51	5.41E-59	3.60E-56	19235	1186
															'LTBP3'	0.639	0.537	292	'H2AFX'	0.51	7.37E-59	4.89E-56	703369	5776
															'ZNF800'	0.638	0.454	293	'RPL3'	0.51	8.17E-59	5.40E-56	736157	5404
															'TTYH3'	0.637	0.264	294	'C5orf38'	0.51	9.16E-59	6.04E-56	381334	4230
															'TXNL4A'	0.637	0.507	295	'ATP6V0E2'	0.51	9.63E-59	6.32E-56	676686	5327
															'MOV10'	0.636	0.386	296	'SLC25A22'	0.51	1.22E-58	8.01E-56	1741583	4024
															'TMEM184B'	0.636	0.499	297	'SUPT5H'	0.51	1.53E-58	9.99E-56	700858	7353
															'GGT7'	0.635	0.409	298	'SSBP4'	0.51	1.78E-58	1.15E-55	452565	7280
															'MIDN'	0.634	0.483	299	'CHMP1A'	0.51	2.40E-58	1.55E-55	781490	3201
															'TRIM28'	0.634	0.362	300	'PPP2R4'	0.51	2.59E-58	1.67E-55	783777	5189
															'ATP6V0A1'	0.634	0.472	301	'TMEM109'	0.51	2.66E-58	1.71E-55	887737	5551
															'GSDMD'	0.634	0.37	302	'GANAB'	0.51	2.68E-58	1.72E-55	1015778	4194
															'EPHX1'	0.634	0.439	303	'FAM131C'	0.51	3.10E-58	1.99E-55	56069	1921
															'MBOAT7'	0.634	0.476	304	'SHARPIN'	0.51	3.18E-58	2.03E-55	1022008	3787
															'NCLN'	0.633	0.498	305	'LAMP1'	0.51	3.32E-58	2.11E-55	784637	5862
															'LZTS2'	0.633	0.352	306	'DFNB31'	0.51	5.00E-58	3.17E-55	1149565	4484
															'KDM5C'	0.632	0.468	307	'HSF1'	0.51	5.65E-58	3.57E-55	124014	4777
															'FAM195A'	0.632	0.526	308	'FAM3A'	0.51	8.61E-58	5.42E-55	507352	5570
															'MECP2'	0.632	0.364	309	'APRT'	0.51	8.98E-58	5.64E-55	890215	4463
															'PRKCD'	0.632	0.199	310	'ANKRD30BL'	0.51	9.72E-58	6.08E-55	792821	3500
															'TFE3'	0.632	0.409	311	'TXNL4A'	0.51	1.28E-57	7.98E-55	1028540	3242
															'TRPC4AP'	0.631	0.409	312	'ALKBH7'	0.51	1.50E-57	9.32E-55	829377	4794
															'DIP2C'	0.631	0.345	313	'C9orf142'	0.51	1.70E-57	1.06E-54	58807	3788
															'TSC22D4'	0.63	0.531	314	'OGFOD3'	0.51	2.24E-57	1.39E-54	799266	4898
															'IER5L'	0.63	0.169	315	'NAGLU'	0.51	2.46E-57	1.52E-54	1219449	4952
															'BCAR1'	0.63	0.502	316	'GADD45G'	0.51	2.62E-57	1.61E-54	280226	3778
															'MFSD3'	0.629	0.499	317	'RPL29'	0.51	2.79E-57	1.71E-54	391305	5445
															'ATP11A'	0.628	0.203	318	'C19orf70'	0.51	3.39E-57	2.07E-54	623127	2695
															'SIGIRR'	0.628	0.452	319	'VGF'	0.51	3.52E-57	2.14E-54	15006	1048
															'NOC2L'	0.628	0.413	320	'C19orf24'	0.50	4.95E-57	3.00E-54	303928	2494
															'CUEDC1'	0.627	0.553	321	'U2AF2'	0.50	5.03E-57	3.04E-54	800743	4102
															'GSK3A'	0.627	0.526	322	'SREBF1'	0.50	5.92E-57	3.57E-54	847032	5476
															'PHF5A'	0.627	0.493	323	'SEPT9'	0.50	8.16E-57	4.91E-54	520005	3400
															'EIF3G'	0.627	0.386	324	'NFIC'	0.50	1.08E-56	6.45E-54	1778985	4582
															'CCDC92'	0.626	0.39	325	'COPE'	0.50	1.15E-56	6.86E-54	228027	3768
															'GALE'	0.626	0.316	326	'LSR'	0.50	1.38E-56	8.25E-54	488507	4050
															'RHBDD3'	0.626	0.376	327	'UBE2Z'	0.50	2.92E-56	1.74E-53	311157	5064
															'MYRF'	0.625	0.263	328	'LHPP'	0.50	2.93E-56	1.74E-53	1077979	5183
															'ENTPD2'	0.625	0.405	329	'PIM3'	0.50	3.05E-56	1.80E-53	143438	3175
															'SLC44A2'	0.625	0.177	330	'BCAR1'	0.50	3.13E-56	1.84E-53	1079015	2958
															'TLE2'	0.625	0.559	331	'ATN1'	0.50	3.30E-56	1.94E-53	463352	4556
															'OAF'	0.624	0.118	332	'ST6GALNAC6'	0.50	3.38E-56	1.98E-53	1120387	4253
															'SRSF9'	0.624	0.443	333	'NDUFB7'	0.50	3.43E-56	2.00E-53	1499476	5302
															'TMEM63B'	0.624	0.476	334	'KIF12'	0.50	3.55E-56	2.07E-53	417032	4716
															'FGFR1'	0.624	0.392	335	'RPL10'	0.50	4.27E-56	2.48E-53	855426	5261
															'ZFP36'	0.624	0.376	336	'MBD6'	0.50	5.45E-56	3.15E-53	45809	4126
															'VASP'	0.623	0.431	337	'CSTB'	0.50	5.56E-56	3.21E-53	535171	6576
															'RALY'	0.623	0.4	338	'OGDH'	0.50	5.58E-56	3.21E-53	812218	5733
															'TMC4'	0.623	0.4	339	'SYN1'	0.50	6.00E-56	3.44E-53	506566	5328
															'SPSB2'	0.623	0.427	340	'ROMO1'	0.50	6.62E-56	3.79E-53	965392	3230
															'ATP13A1'	0.622	0.487	341	'HNRNPA0'	0.50	6.65E-56	3.79E-53	530953	4619
															'APRT'	0.622	0.508	342	'ABHD17A'	0.50	8.44E-56	4.80E-53	526987	4146
															'ARFGAP1'	0.622	0.456	343	'KRTCAP2'	0.50	9.88E-56	5.61E-53	798185	2953
															'STK16'	0.622	0.493	344	'RPS27'	0.50	1.05E-55	5.94E-53	346396	4044
															'SRC'	0.621	0.418	345	'TRAF4'	0.50	1.10E-55	6.21E-53	268965	3504
															'PACS1'	0.62	0.441	346	'FBXL15'	0.50	1.15E-55	6.46E-53	592646	5009
															'ZNF503'	0.62	0.194	347	'TMEM184B'	0.50	1.18E-55	6.63E-53	519997	4646
															'SCAND1'	0.62	0.563	348	'MFSD3'	0.50	2.06E-55	1.15E-52	1321788	4635
															'FN3K'	0.62	0.542	349	'NCLN'	0.50	2.22E-55	1.24E-52	724648	5204
															'GPX1'	0.62	0.453	350	'ENDOG'	0.50	2.34E-55	1.30E-52	838058	6344
															'C19orf24'	0.62	0.505	351	'GDI1'	0.50	2.54E-55	1.41E-52	610132	6037
															'GNAI2'	0.62	0.538	352	'CTNNBIP1'	0.50	2.63E-55	1.45E-52	441803	4583
															'MEGF8'	0.619	0.361	353	'TSPAN17'	0.50	3.27E-55	1.81E-52	513439	2786
															'PKM'	0.619	0.483	354	'RHPN1'	0.50	4.06E-55	2.23E-52	543128	4583
															'ACIN1'	0.619	0.348	355	'FBXO2'	0.50	4.18E-55	2.30E-52	629014	5474
															'TRAF4'	0.618	0.5	356	'AP2S1'	0.50	4.55E-55	2.49E-52	1261828	6428
															'C10orf54'	0.618	0.137	357	'MZF1'	0.50	5.05E-55	2.76E-52	1052797	4427
															'MFI2'	0.618	0.235	358	'LMF2'	0.50	5.43E-55	2.96E-52	1144128	4814
															'STK25'	0.618	0.44	359	'BAIAP2'	0.50	5.88E-55	3.19E-52	85893	3257
															'PRPF19'	0.618	0.454	360	'TMEM141'	0.50	7.00E-55	3.79E-52	4004	1062
															'BCL3'	0.618	0.393	361	'TRAPPC5'	0.50	7.92E-55	4.28E-52	319196	1695
															'RPL29'	0.617	0.506	362	'TMEM160'	0.50	8.69E-55	4.68E-52	1370499	5222
															'TMEM102'	0.617	0.329	363	'NPM3'	0.50	8.73E-55	4.69E-52	524875	5534
															'NCKIPSD'	0.617	0.43	364	'PRRG2'	0.50	1.09E-54	5.84E-52	1081372	4904
															'KIF12'	0.617	0.502	365	'GTF3C5'	0.50	1.34E-54	7.15E-52	1175640	3367
															'POLR2L'	0.617	0.558	366	'NAPA'	0.50	1.43E-54	7.63E-52	437195	5435
															'CLSTN1'	0.616	0.483	367	'RPS19BP1'	0.49	1.71E-54	9.07E-52	643546	4412
															'PELP1'	0.616	0.431	368	'JMJD8'	0.49	1.92E-54	1.02E-51	645259	5027
															'BACE2'	0.616	0.371	369	'SNF8'	0.49	2.08E-54	1.10E-51	1073824	5366
															'RAD23A'	0.615	0.53	370	'PIGQ'	0.49	2.09E-54	1.10E-51	1752735	4631
															'PSMD3'	0.615	0.489	371	'PSKH1'	0.49	2.44E-54	1.28E-51	1220676	4036
															'DOK4'	0.615	0.381	372	'ATP5G2'	0.49	2.68E-54	1.40E-51	969131	3934
															'TPRA1'	0.615	0.401	373	'CIC'	0.49	2.88E-54	1.51E-51	906184	5410
															'SRCAP'	0.614	0.419	374	'CDK16'	0.49	3.67E-54	1.91E-51	1136768	4077
															'MOGS'	0.614	0.52	375	'STK16'	0.49	4.15E-54	2.16E-51	952892	4649
															'KMT2D'	0.613	0.452	376	'MVD'	0.49	4.96E-54	2.58E-51	508454	5859
															'COL18A1'	0.613	0.033	377	'ZDHHC8'	0.49	5.11E-54	2.65E-51	364429	4657
															'MFSD10'	0.613	0.531	378	'GADD45GIP1'	0.49	5.65E-54	2.92E-51	1270165	4169
															'MMP15'	0.613	0.44	379	'PHF5A'	0.49	5.98E-54	3.08E-51	935288	3803
															'CKAP4'	0.613	0.411	380	'MAP1S'	0.49	6.35E-54	3.26E-51	978601	4951
															'LZTR1'	0.613	0.391	381	'PVRL2'	0.49	9.11E-54	4.67E-51	797866	5896
															'NEURL1'	0.612	0.487	382	'TMEM203'	0.49	9.14E-54	4.67E-51	1292106	4208
															'CX3CL1'	0.612	0.179	383	'NME4'	0.49	1.79E-53	9.10E-51	25826	1264
															'KLHL26'	0.612	0.33	384	'GNL1'	0.49	1.86E-53	9.44E-51	419937	4541
															'PIM3'	0.612	0.502	385	'SPNS1'	0.49	1.97E-53	1.00E-50	363796	3727
															'PTTG1IP'	0.611	0.344	386	'BAZ2A'	0.49	2.55E-53	1.29E-50	1341628	3855
															'SLC9A8'	0.611	0.415	387	'PSMD3'	0.49	3.93E-53	1.97E-50	1099804	6377
															'NOP14-AS1'	0.61	0.374	388	'KCTD13'	0.49	5.01E-53	2.51E-50	720633	7045
															'DDX23'	0.61	0.295	389	'MIR3648'	0.49	6.29E-53	3.14E-50	1147597	5006
															'GRN'	0.61	0.488	390	'RAB26'	0.49	6.51E-53	3.24E-50	717098	4951
															'PPP6R1'	0.61	0.517	391	'REXO4'	0.49	8.36E-53	4.16E-50	1776024	4208
															'DHX32'	0.61	0.272	392	'GRN'	0.49	9.26E-53	4.59E-50	1941935	6536
															'PFKL'	0.61	0.552	393	'GIPC1'	0.49	9.54E-53	4.72E-50	1147053	4744
															'TPT1'	0.609	0.368	394	'PRKACA'	0.49	1.18E-52	5.83E-50	238811	4417
															'PPP1R12C'	0.609	0.472	395	'STX1A'	0.49	1.26E-52	6.19E-50	1144523	4868
															'GATS'	0.609	0.335	396	'ATP13A1'	0.49	1.31E-52	6.45E-50	250993	4745
															'SFT2D3'	0.609	0.362	397	'PCBP1'	0.49	1.43E-52	7.02E-50	353871	3744
															'SNF8'	0.609	0.494	398	'WHSC1L1'	0.49	1.63E-52	7.94E-50	667456	5353
															'TAF6'	0.608	0.445	399	'NEURL1'	0.49	1.67E-52	8.15E-50	1085683	5744
															'CREB3L1'	0.608	0.239	400	'SCYL1'	0.49	1.70E-52	8.26E-50	879817	5840
															'REPIN1'	0.608	0.463	401	'HLA-A'	0.49	2.31E-52	1.12E-49	644088	4725
															'UCK1'	0.608	0.412	402	'RPS28'	0.49	2.68E-52	1.29E-49	808586	4938
															'TRAPPC12'	0.607	0.436	403	'CPLX1'	0.49	2.86E-52	1.38E-49	266884	4305
															'C9orf89'	0.607	0.385	404	'MOB2'	0.48	6.80E-52	3.27E-49	353093	1655
															'GANAB'	0.607	0.51	405	'ATP13A2'	0.48	8.13E-52	3.90E-49	921798	4829
															'CIRBP'	0.606	0.317	406	'RABL6'	0.48	9.12E-52	4.37E-49	982568	3984
															'DTX3'	0.606	0.529	407	'DEAF1'	0.48	9.29E-52	4.44E-49	1052300	7253
															'TRIM26'	0.605	0.313	408	'THEM6'	0.48	9.36E-52	4.46E-49	928285	5643
															'CCDC97'	0.605	0.348	409	'SSTR5-AS1'	0.48	9.37E-52	4.46E-49	1218589	5115
															'VASN'	0.605	0.227	410	'MTCH1'	0.48	9.40E-52	4.46E-49	301768	3666
															'SGSM3'	0.605	0.44	411	'MIDN'	0.48	9.84E-52	4.66E-49	415253	3964
															'SPNS1'	0.605	0.49	412	'CLSTN1'	0.48	1.03E-51	4.85E-49	405113	2699
															'FAM210B'	0.605	0.346	413	'FASTK'	0.48	1.12E-51	5.28E-49	1408776	5611
															'LOC407835'	0.604	0.41	414	'PKM'	0.48	1.17E-51	5.50E-49	865490	5399
															'CITED2'	0.604	0.483	415	'PPP4C'	0.48	1.18E-51	5.52E-49	1161864	5065
															'ETHE1'	0.604	0.358	416	'TKT'	0.48	1.22E-51	5.72E-49	330162	2136
															'PTPN6'	0.604	0.301	417	'CCDC106'	0.48	1.27E-51	5.92E-49	386594	4905
															'C19orf66'	0.604	0.418	418	'CITED2'	0.48	1.34E-51	6.24E-49	1427317	3743
															'CAPNS1'	0.603	0.131	419	'DYRK1B'	0.48	1.52E-51	7.04E-49	1437248	3210
															'DALRD3'	0.603	0.391	420	'AKT2'	0.48	1.53E-51	7.12E-49	897573	5269
															'LLGL2'	0.603	0.382	421	'IRF2BP1'	0.48	1.86E-51	8.62E-49	480931	5132
															'ZDHHC1'	0.603	0.516	422	'RBCK1'	0.48	2.66E-51	1.23E-48	827411	5138
															'TMEM63A'	0.602	0.123	423	'PLEKHH3'	0.48	2.74E-51	1.26E-48	1351322	5562
															'PIP5K1C'	0.602	0.355	424	'SGPP2'	0.48	3.34E-51	1.53E-48	805883	5078
															'PARP10'	0.601	0.419	425	'DEXI'	0.48	3.39E-51	1.55E-48	351660	4776
															'SBNO2'	0.601	0.337	426	'TNIP1'	0.48	4.46E-51	2.04E-48	1088028	6055
															'COPRS'	0.601	0.43	427	'WDTC1'	0.48	4.68E-51	2.13E-48	684302	4893
															'ZMIZ2'	0.601	0.387	428	'MRPL12'	0.48	4.76E-51	2.16E-48	856232	4995
															'CAPS'	0.601	0.295	429	'ABHD8'	0.48	4.78E-51	2.17E-48	644152	5282
															'TOM1'	0.6	0.444	430	'UBALD1'	0.48	5.57E-51	2.53E-48	1117084	5949
															'DNAJB2'	0.6	0.44	431	'SH2B1'	0.48	5.75E-51	2.60E-48	447772	4930
															'NDN'	0.6	0.428	432	'SHISA5'	0.48	5.92E-51	2.67E-48	604423	4671
															'LAMP2'	-0.601	-0.315	433	'RPSA'	0.48	6.19E-51	2.79E-48	1387401	3216
															'ENPP2'	-0.602	-0.321	434	'SYMPK'	0.48	8.75E-51	3.93E-48	567477	6317
															'SDHD'	-0.615	-0.357	435	'PPP5C'	0.48	1.11E-50	4.98E-48	598021	3170
															'CD164'	-0.617	-0.363	436	'TIMM17B'	0.48	1.36E-50	6.05E-48	1072852	5117
															'TMBIM6'	-0.618	-0.245	437	'DPM3'	0.48	1.38E-50	6.12E-48	1412181	5496
															'ANXA5'	-0.622	-0.337	438	'ABHD14B'	0.48	1.66E-50	7.38E-48	1230440	5396
